epoch,accuracy,loss,val_accuracy,val_loss
0,0.4373626410961151,1.4188791513442993,0.6630824208259583,0.9346824288368225
1,0.6263736486434937,1.0342626571655273,0.6738350987434387,0.9441798329353333
2,0.687912106513977,0.8563735485076904,0.7419354915618896,0.6450044512748718
3,0.7527472376823425,0.7306905388832092,0.8172042965888977,0.45393240451812744
4,0.7879120707511902,0.5777854323387146,0.8709677457809448,0.3578726351261139
5,0.8274725079536438,0.5044350624084473,0.8817204236984253,0.2981950640678406
6,0.8373626470565796,0.4561368525028229,0.9103942513465881,0.26546916365623474
7,0.8846153616905212,0.3497113585472107,0.8781362175941467,0.3449718952178955
8,0.8846153616905212,0.33393558859825134,0.9283154010772705,0.26236310601234436
9,0.91318678855896,0.2373717576265335,0.8709677457809448,0.3615267872810364
10,0.9175823926925659,0.239683136343956,0.9318996667861938,0.19252368807792664
11,0.9373626112937927,0.18856990337371826,0.9354838728904724,0.20641934871673584
12,0.9373626112937927,0.19976948201656342,0.9426523447036743,0.19334696233272552
13,0.9461538195610046,0.1518324464559555,0.9318996667861938,0.248758926987648
