,Bete,Cray,Discuss,Gold,Guppy,Oscar
Bete,49,1,1,0,2,3
Cray,1,17,0,1,2,1
Discuss,0,0,58,0,0,0
Gold,0,0,0,61,0,1
Guppy,2,0,0,0,52,0
Oscar,3,1,0,1,2,33
