epoch,accuracy,loss,val_accuracy,val_loss
0,0.38021978735923767,1.588925838470459,0.6057347655296326,1.0814982652664185
1,0.58681321144104,1.099678874015808,0.7455196976661682,0.7346372008323669
2,0.6791208982467651,0.8566956520080566,0.7921146750450134,0.5840172171592712
3,0.7406593561172485,0.7357866168022156,0.7921146750450134,0.5150526762008667
4,0.791208803653717,0.6018354892730713,0.8351254463195801,0.41639840602874756
5,0.8296703100204468,0.48750439286231995,0.8637992739677429,0.39271941781044006
6,0.8593406677246094,0.39303597807884216,0.8960573673248291,0.30653977394104004
7,0.8714285492897034,0.37251850962638855,0.8709677457809448,0.37928009033203125
8,0.8879120945930481,0.32382839918136597,0.8996415734291077,0.28304049372673035
9,0.904395580291748,0.2728443443775177,0.91756272315979,0.21303558349609375
10,0.9274725317955017,0.19740062952041626,0.8853046298027039,0.3456043004989624
11,0.9219779968261719,0.21532906591892242,0.9462365508079529,0.1410643309354782
12,0.9351648092269897,0.20448367297649384,0.9283154010772705,0.18485380709171295
13,0.9263736009597778,0.19681085646152496,0.9426523447036743,0.18585613369941711
14,0.9230769276618958,0.20971810817718506,0.9498208165168762,0.19008955359458923
15,0.9505494236946106,0.1727859526872635,0.9426523447036743,0.1978762298822403
16,0.9472527503967285,0.16059577465057373,0.9605734944343567,0.17106400430202484
