epoch,accuracy,loss,val_accuracy,val_loss
0,0.4098901152610779,1.5176198482513428,0.5734767317771912,1.1755563020706177
1,0.5670329928398132,1.1788886785507202,0.698924720287323,0.8670868873596191
2,0.6538461446762085,0.9287077188491821,0.7455196976661682,0.6787852048873901
3,0.7186813354492188,0.7814339995384216,0.7992831468582153,0.5365124344825745
4,0.7450549602508545,0.6933032870292664,0.8243727684020996,0.44814133644104004
5,0.7879120707511902,0.5702095031738281,0.8351254463195801,0.44377923011779785
6,0.812087893486023,0.5314700603485107,0.8351254463195801,0.4488717317581177
7,0.8428571224212646,0.43564853072166443,0.8637992739677429,0.395161896944046
8,0.8582417368888855,0.3994258940219879,0.8530465960502625,0.3794271647930145
9,0.8725274801254272,0.3504403233528137,0.9068100452423096,0.29177039861679077
10,0.8879120945930481,0.3279496729373932,0.9247311949729919,0.2592187821865082
11,0.903296709060669,0.28945302963256836,0.9247311949729919,0.22926588356494904
12,0.9175823926925659,0.22539499402046204,0.8888888955116272,0.30765506625175476
13,0.9329670071601868,0.22982780635356903,0.9426523447036743,0.23416933417320251
14,0.9329670071601868,0.21114113926887512,0.9032257795333862,0.3260679244995117
