Channel,Min,Max,Mean,Median,Mode,Skew,Range,StdDev,Variance
Blue,0,255,21.831687002471,10.0,4,1.679647140858882,255,26.2296044684802,687.9921505729166
Green,0,255,24.640292543353457,16.0,10,1.7618090532862734,255,22.225297035980546,493.9638283375657
Red,0,255,20.60784912109375,12.0,4,2.1054486398247314,255,22.45564546558139,504.2560132758861
