,precision,recall,f1-score,support
Bete,0.8833333333333333,0.9464285714285714,0.9137931034482759,56.0
Cray,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
Discuss,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0
Gold,0.9836065573770492,0.967741935483871,0.975609756097561,62.0
Guppy,0.9152542372881356,1.0,0.9557522123893806,54.0
Oscar,0.9090909090909091,0.75,0.821917808219178,40.0
accuracy,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684
macro avg,0.9218644191536566,0.9108518242973194,0.9145068005282719,292.0
weighted avg,0.9318314426656927,0.9315068493150684,0.9300210791784544,292.0
