model,test_loss,keras_accuracy,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Baseline Model,0.19306795299053192,0.9246575236320496,0.9246575342465754,0.9169872542492432,0.9032602005720286,0.9090549069573459,0.9238851027747421,0.9246575342465754,0.9235980423758572
Optimized Model,0.22242136299610138,0.931506872177124,0.9315068493150684,0.9218644191536566,0.9108518242973194,0.9145068005282719,0.9318314426656927,0.9315068493150684,0.9300210791784544
