epoch,accuracy,loss,val_accuracy,val_loss
0,0.23736263811588287,6.1308746337890625,0.48028674721717834,1.4716063737869263
1,0.4000000059604645,1.5595625638961792,0.5304659605026245,1.2819005250930786
2,0.47472527623176575,1.4166375398635864,0.5734767317771912,1.1751410961151123
3,0.5153846144676208,1.3269582986831665,0.6129032373428345,1.0799405574798584
4,0.5164835453033447,1.2711549997329712,0.6379928588867188,1.0033607482910156
5,0.5692307949066162,1.1729555130004883,0.6487455368041992,0.9539731740951538
6,0.5516483783721924,1.2035642862319946,0.6559139490127563,0.9233725666999817
7,0.5725274682044983,1.1298141479492188,0.6810035705566406,0.9013174176216125
8,0.5725274682044983,1.0871620178222656,0.6093189716339111,0.9240603446960449
9,0.596703290939331,1.0810911655426025,0.6559139490127563,0.8620059490203857
10,0.5923076868057251,1.076735019683838,0.6810035705566406,0.8829354643821716
11,0.6142857074737549,0.986564576625824,0.7204301357269287,0.7665062546730042
12,0.6373626589775085,0.9827120900154114,0.7275985479354858,0.7404947876930237
13,0.6428571343421936,0.9586486220359802,0.7132616639137268,0.7473037838935852
14,0.6417582631111145,0.9419414401054382,0.7311828136444092,0.7740297913551331
