epoch,accuracy,loss,val_accuracy,val_loss
0,0.3043956160545349,4.000690460205078,0.5089605450630188,1.5224889516830444
1,0.44285714626312256,1.4715899229049683,0.4838709533214569,1.2665663957595825
2,0.4901098906993866,1.3293404579162598,0.5555555820465088,1.1949669122695923
3,0.5186813473701477,1.263208270072937,0.5734767317771912,1.0678770542144775
4,0.5593406558036804,1.1643122434616089,0.6594982147216797,0.9323821067810059
5,0.6285714507102966,1.0217796564102173,0.6774193644523621,0.8239158987998962
6,0.6406593322753906,0.9410951733589172,0.7383512258529663,0.6958854794502258
7,0.6956043839454651,0.797569215297699,0.7419354915618896,0.7013772130012512
8,0.7373626232147217,0.7616010904312134,0.774193525314331,0.7439693212509155
9,0.7263736128807068,0.7597398161888123,0.7956989407539368,0.5457454919815063
10,0.7714285850524902,0.655625581741333,0.842293918132782,0.47307267785072327
11,0.7879120707511902,0.6142826080322266,0.8064516186714172,0.49978455901145935
12,0.7824175953865051,0.5823335647583008,0.8351254463195801,0.44228899478912354
13,0.8219780325889587,0.5107027292251587,0.8458781242370605,0.4107120633125305
14,0.8406593203544617,0.44532185792922974,0.8494623899459839,0.4232313632965088
